지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
1,서울경기,2018-05-01,0,0.1,파주,0.1,파주,
1,서울경기,2018-04-30,0,0,인천,0,인천,
1,서울경기,2018-04-29,0,,,,,
1,서울경기,2018-04-28,0,,,,,
1,서울경기,2018-04-27,0,0,인천,0,인천,
1,서울경기,2018-04-26,0,,,,,
1,서울경기,2018-04-25,0,,,,,
1,서울경기,2018-04-24,2.1,6.1,이천,3.2,동두천,
1,서울경기,2018-04-23,57.4,66.9,이천,13.1,이천,
1,서울경기,2018-04-22,15.3,51.7,백령도,10,백령도,
1,서울경기,2018-04-21,0,,,,,
1,서울경기,2018-04-20,0,,,,,
1,서울경기,2018-04-19,0,,,,,
1,서울경기,2018-04-18,0,,,,,
1,서울경기,2018-04-17,0,,,,,
1,서울경기,2018-04-16,0,,,,,
1,서울경기,2018-04-15,0,,,,,
1,서울경기,2018-04-14,7.7,18.1,이천,4.3,이천,
1,서울경기,2018-04-13,0,,,,,
1,서울경기,2018-04-12,0,,,,,
1,서울경기,2018-04-11,0,,,,,
1,서울경기,2018-04-10,2.4,9.2,동두천,8.3,동두천,
1,서울경기,2018-04-09,0,,,,,
1,서울경기,2018-04-08,2.2,5,양평,2.5,서울,강화,양평,
1,서울경기,2018-04-07,0.1,0.5,동두천,0.4,동두천,
1,서울경기,2018-04-06,6.7,9.8,이천,3.1,이천,
1,서울경기,2018-04-05,12.4,21,이천,3.5,이천,
1,서울경기,2018-04-04,15.1,19.1,수원,10.1,파주,
1,서울경기,2018-04-03,0.1,9.3,백령도,9.1,백령도,
1,서울경기,2018-04-02,0,,,,,
1,서울경기,2018-04-01,0,0,인천,강화,0,인천,강화,
1,서울경기,2018-03-31,0,,,,,
1,서울경기,2018-03-30,0,,,,,
1,서울경기,2018-03-29,0,,,,,
1,서울경기,2018-03-28,0,,,,,
1,서울경기,2018-03-27,0,,,,,
1,서울경기,2018-03-26,0,0,백령도,,,
1,서울경기,2018-03-25,0,0,백령도,,,
1,서울경기,2018-03-24,0,0,강화,,,
