사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-11,경의선,1272,곡산,0,0,266,216,657,653,"1,961","1,534","1,726","3,106","1,089",924,"1,010",811,723,688,902,905,879,900,"1,131",926,"1,306",749,"1,295",952,"1,723",929,"1,866","1,763",703,"1,295",530,775,409,741,227,731,132,392,8,158,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1273,백마,2,0,"3,768",987,"14,594","3,265","39,049","7,041","31,096","13,333","16,922","6,383","12,052","5,377","10,615","4,626","11,058","6,451","9,317","7,391","8,132","8,313","8,746","9,122","10,225","11,864","11,899","14,325","13,082","26,283","5,856","25,511","4,117","15,250","3,975","13,729","3,408","12,600","1,147","9,030",154,"2,865",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1274,풍산,3,0,"3,575",381,"10,403","1,967","25,733","4,121","22,025","8,052","14,317","5,941","9,941","4,969","9,174","5,526","8,892","6,273","8,323","6,684","7,418","6,623","8,296","8,164","8,416","9,785","9,417","12,861","8,928","19,190","5,154","17,734","3,925","12,221","4,695","11,038","3,277","8,872","1,045","7,384",121,"2,238",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1275,일산,20,5,"6,377",894,"21,274","3,351","54,187","7,450","39,240","18,896","22,825","9,577","15,915","7,459","14,920","7,929","16,905","10,059","13,506","12,640","12,545","13,106","12,679","13,896","15,010","17,472","14,780","22,829","13,425","34,445","6,964","36,784","5,467","21,184","4,636","19,995","4,207","18,092","1,375","10,081",296,"5,018",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1276,탄현,30,0,"5,369",642,"17,253","3,085","45,235","6,995","31,412","10,945","19,034","7,186","14,290","5,374","12,530","5,750","11,770","7,309","10,485","8,114","9,440","8,893","10,213","11,264","11,031","12,802","11,709","20,702","13,302","28,446","6,747","33,921","5,405","17,668","4,949","17,263","4,192","14,637","1,751","8,114",329,"5,232",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1277,야당,8,0,"4,149",228,"12,658","2,825","24,703","4,485","23,015","8,395","12,859","6,498","10,573","4,044","8,852","4,762","8,755","5,399","7,612","6,111","6,924","6,682","7,923","8,449","8,397","9,800","10,176","16,374","8,622","19,647","5,738","21,456","4,942","11,741","4,961","11,135","4,297","10,775","1,850","6,236",407,"3,722",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1278,운정,38,0,"3,053",304,"15,707","4,075","32,282","5,758","28,919","9,016","15,701","5,488","12,040","4,514","9,542","4,760","9,533","6,063","8,843","6,438","7,345","7,409","7,760","9,540","9,856","12,240","10,809","16,903","9,945","22,363","4,578","22,199","3,843","12,767","3,224","12,250","2,631","10,708",760,"7,074",98,"3,299",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1279,금릉,65,1,"3,039",373,"8,214","2,359","19,152","5,420","15,621","10,054","10,834","5,915","8,625","4,759","7,736","3,974","8,392","4,788","7,962","5,969","6,615","5,789","6,753","8,340","7,648","9,970","10,150","13,416","10,275","15,850","5,264","16,159","4,493","8,740","4,040","8,226","3,599","7,668","1,038","6,362",135,"3,179",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1280,금촌,74,2,"3,723",307,"10,479","4,190","22,819","11,419","24,514","18,165","15,408","11,504","12,606","9,305","12,136","7,881","13,549","11,211","12,901","10,818","11,464","10,125","11,903","13,316","15,828","14,778","15,427","17,246","18,196","20,682","9,382","20,850","7,120","12,219","5,372","10,807","3,915","8,410","1,336","6,933",234,"3,122",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1282,월롱,20,0,533,31,910,"2,759","2,291","10,018","2,902","15,842","2,443","6,177","2,029","3,969","2,616","1,977","4,145","3,537","3,798","2,583","3,183","1,821","5,920","2,103","7,593","2,444","10,680","2,793","15,229","3,067","5,153","3,102","4,036","2,653","2,477","2,901","1,329","2,486",294,"2,429",18,905,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1283,파주,39,0,940,18,"1,564",523,"3,230","2,392","4,096","9,184","2,419","5,655","2,239","3,468","2,480","1,721","3,832","2,021","2,853","2,742","2,538","1,181","5,003","1,533","6,315","1,393","8,592","1,683","5,590","1,960","1,816","1,987","1,408","1,742","1,414","1,258",713,"1,308",394,"1,047",8,459,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1284,문산,"1,054",3,"3,474",27,"9,137","2,899","19,833","7,722","21,170","16,036","14,046","8,197","11,218","10,778","10,295","10,978","11,643","10,114","13,117","10,551","12,713","8,391","13,104","12,291","13,389","12,048","15,498","13,160","13,271","17,568","6,050","16,111","4,833","12,575","4,147","9,588","2,393","7,230",432,"6,264",0,"3,999",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1291,서울역,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1295,김포공항,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1296,계양,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경의선,1297,검암,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1311,신내,1,0,341,267,"1,029","1,059","2,903","3,473","2,724","3,288","1,608","1,239","1,266","1,052","1,135",972,"1,238",856,"1,163",997,"1,149","1,200","1,381","1,400","2,196","1,395","1,930","2,098","1,892","2,431","1,000","1,872",769,"1,022",847,904,580,620,247,325,2,88,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1312,갈매,7,0,"1,487",273,"3,553","1,223","16,651","2,306","11,131","5,584","7,527","2,521","4,080","2,785","3,114","1,919","3,401","2,030","3,327","2,611","3,091","3,027","3,225","3,880","3,482","3,581","4,838","5,618","5,251","7,186","2,640","10,915","1,957","5,396","2,441","3,006","1,356","3,837",660,"2,318",11,852,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1313,별내,39,0,905,"1,123","2,355","3,347","10,158","3,960","9,728","7,376","5,540","4,689","4,231","3,060","3,675","3,398","4,211","3,413","3,983","3,245","4,016","3,959","4,656","4,744","6,024","4,457","7,653","7,063","6,311","7,033","3,548","8,252","2,814","4,387","2,428","2,752","2,245","3,116","1,110","2,072",39,420,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1314,퇴계원,3,0,"2,748",612,"5,641","1,507","22,063","3,560","16,100","5,332","11,080","2,929","7,385","2,814","5,593","2,933","5,829","3,287","5,799","3,701","4,083","4,520","4,322","5,316","5,049","6,882","5,255","9,673","5,958","13,271","3,460","13,497","2,192","8,010","2,072","5,730","1,290","6,825",685,"4,013",39,"1,182",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1315,사릉,27,0,"2,078",862,"6,143","1,907","19,563","6,182","16,768","7,440","9,040","3,257","6,516","2,768","5,126","2,609","5,149","2,700","4,669","3,356","3,795","4,094","3,922","3,979","4,420","7,202","6,168","7,856","8,011","11,580","3,099","15,689","1,968","5,958","1,552","6,032","1,015","6,221",433,"3,764",46,"1,084",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1316,금곡,8,0,"1,204",359,"2,468",983,"5,784","2,321","6,268","4,842","3,682","2,624","3,318","2,047","2,857","1,585","3,084","2,307","2,744","2,154","2,243","2,722","2,829","2,207","2,766","3,433","3,428","3,869","4,219","4,456","1,515","4,181",917,"1,982",743,"2,183",740,"1,966",283,"1,409",13,376,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1317,평내호평,546,3,"5,341","1,095","9,845","2,884","30,640","4,589","22,886","9,219","13,499","7,668","11,056","6,070","9,058","5,449","10,700","7,337","8,606","7,411","7,874","10,081","9,179","9,479","9,244","10,767","10,205","19,205","9,887","19,300","5,798","23,990","4,671","11,557","4,379","10,351","4,261","8,475","1,791","8,339",67,"2,856",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1318,천마산,6,0,"1,025",181,"3,656",724,"8,823","1,738","6,907","1,582","5,497","1,710","3,934","1,623","3,214","1,466","3,191","2,031","2,283","1,930","2,300","2,555","2,043","3,139","2,205","3,284","2,059","4,510","2,068","5,390",831,"5,374",743,"3,750",589,"3,091",387,"1,990",143,"1,714",17,432,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1319,마석,25,0,"1,365",452,"7,726","3,053","18,328","6,044","12,879","8,620","10,623","5,439","8,340","4,639","6,918","4,144","7,390","4,493","6,347","5,949","6,117","6,343","5,792","7,419","8,223","6,910","7,033","10,459","8,389","10,854","3,285","14,407","3,045","7,896","2,682","5,713","1,685","5,455",721,"2,966",35,"1,377",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1320,대성리,0,0,425,47,"1,051",268,"1,477",639,"1,448","1,414","1,112","1,035","1,451","1,138","2,231",847,"1,349",986,"1,011","1,407","1,081","1,785","1,252","1,153","1,716","1,963","1,758","1,547","1,245","1,363",576,"1,471",412,914,228,522,143,514,86,284,0,4,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1321,청평,2,0,"1,073",107,"2,104",596,"4,171","2,017","6,601","4,909","4,293","3,915","4,183","3,414","4,504","3,013","3,692","3,296","3,508","3,190","3,693","3,920","4,112","3,041","5,030","5,533","5,816","5,620","5,216","4,683","1,653","4,388","1,206","2,077",957,"2,425",813,"2,117",300,"1,209",11,363,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1322,상천,0,0,109,32,330,160,525,150,877,746,615,847,436,"1,463",622,"1,224",659,853,852,526,"1,395",515,"1,481",505,"1,372",683,"1,009",563,468,562,223,508,84,365,67,301,22,222,13,129,0,50,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1323,가평,2,0,624,174,"1,784",849,"2,788","3,128","4,359","7,349","3,397","7,036","3,667","7,547","4,060","7,834","3,680","9,034","4,631","4,659","5,533","5,056","7,469","4,430","9,591","3,501","10,845","3,891","8,228","4,388","2,941","3,488","1,976","2,190","1,401","1,898",704,"1,531",281,"1,179",17,377,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1324,굴봉산,0,0,47,11,78,29,167,133,256,375,247,393,265,677,332,443,289,366,382,333,486,315,609,324,555,240,413,253,242,195,137,205,83,144,67,90,23,56,7,53,3,26,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1325,백양리,0,0,41,12,17,28,68,234,126,516,103,163,146,466,281,437,319,326,304,230,306,204,395,265,384,132,547,125,304,120,95,98,79,88,76,73,30,55,3,75,0,10,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1326,강촌,2,0,103,30,317,119,483,423,542,"2,516",546,"2,236",748,"2,124","1,142","1,917","1,161","1,041","1,304","1,007","1,882",703,"2,471",843,"3,652",898,"2,602",785,"1,155",820,595,586,370,437,243,412,115,382,44,333,4,42,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1327,김유정,7,0,116,3,143,87,505,508,488,821,392,"1,457",539,"1,974",840,"2,247",969,"1,470","1,309","1,356","1,331","1,227","1,644",892,"1,798",734,"1,563",573,991,487,255,355,147,271,94,201,52,205,16,148,22,22,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1328,남춘천,347,0,"1,546",18,"4,205",738,"4,613","2,893","5,799","5,755","6,442","6,784","5,632","5,087","5,365","9,074","5,769","9,191","7,000","5,855","8,198","5,769","7,770","6,178","8,538","5,540","8,366","8,377","6,594","5,284","4,524","9,457","3,517","4,797","3,270","3,610","2,084","4,964",672,"2,746",9,"1,748",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경춘선,1329,춘천,285,1,556,7,"1,880",376,"2,159","2,006","2,880","5,929","3,523","5,391","3,156","5,168","3,153","5,585","3,434","4,620","4,611","4,246","5,819","3,097","8,335","4,159","9,532","2,947","8,739","3,382","5,650","3,097","3,457","3,935","2,618","2,003","1,499","2,123",914,"2,037",204,"1,185",3,994,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1878,달월,0,0,4,2,34,87,94,82,83,459,72,109,66,78,74,72,110,95,101,98,103,73,144,80,203,48,766,90,285,125,68,53,28,55,20,36,15,24,13,21,4,11,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1879,월곶,3,0,"1,063",275,"3,168","1,398","9,621","2,502","9,922","2,860","6,221","2,794","4,152","2,669","3,857","3,514","4,109","3,451","3,963","3,415","3,715","3,651","3,557","4,375","4,382","4,812","5,039","7,335","5,779","9,328","3,457","6,309","2,441","4,526","2,043","4,182","1,448","3,963",828,"2,603",11,573,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1880,소래포구,0,0,"2,226",468,"5,900","2,047","16,521","3,642","14,113","7,320","8,450","6,558","6,980","6,993","7,736","13,014","9,270","15,711","11,344","13,193","14,587","12,313","16,343","11,109","15,108","10,954","12,597","12,235","9,316","13,972","5,731","10,806","4,661","7,252","4,680","6,069","4,287","5,398","2,297","4,087",159,"1,151",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1881,인천논현,1,0,"2,034",719,"6,303","3,933","16,535","8,340","17,168","18,026","10,648","11,725","9,003","7,482","9,083","8,229","10,543","9,299","10,612","10,990","9,616","10,659","10,469","11,506","11,066","13,332","14,502","18,565","15,343","21,601","9,780","15,078","8,059","9,913","8,164","8,244","6,762","7,138","3,865","4,199",425,"1,013",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1882,호구포,2,0,"1,643",814,"3,329","4,890","7,534","17,037","9,677","18,700","5,514","4,971","4,487","3,153","4,406","3,143","5,291","3,862","5,027","4,123","4,774","4,143","4,923","4,589","5,768","5,275","13,809","7,479","16,932","8,476","5,838","6,730","5,852","4,284","4,155","3,893","2,539","3,167","1,407","2,378",220,566,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1883,남동인더스파크,0,0,330,692,823,"3,701","1,094","16,074","1,934","21,139","1,520","3,728","1,515","1,756","1,753","1,726","2,216","1,874","2,299","1,959","2,287","1,423","3,368","1,273","4,457","1,148","12,018","1,926","13,165","1,938","5,122","2,167","3,668","1,376","2,261",905,677,577,272,364,27,96,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1884,원인재,32,3,"3,427",568,"6,716","2,598","15,543","4,943","18,128","7,958","10,882","5,190","7,883","4,863","7,687","5,263","7,866","5,988","7,954","7,037","7,085","7,197","7,172","8,488","7,746","10,176","8,394","13,287","8,705","17,205","5,043","12,589","4,058","9,677","3,940","9,146","3,196","8,203","1,829","5,071",266,"1,710",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1885,연수,3,0,"2,549",872,"5,767","2,247","15,761","4,879","15,801","13,254","8,900","7,973","7,382","6,991","7,208","6,983","8,692","7,220","9,023","8,558","8,253","8,250","8,363","8,487","9,808","10,592","11,098","14,189","13,486","20,176","7,132","12,754","6,157","9,202","6,572","7,111","5,832","5,515","3,417","4,482",551,"1,083",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1886,송도,1,0,"1,753",234,"3,711","1,336","10,834","2,411","12,069","4,230","6,463","2,634","4,907","2,739","4,637","3,455","5,424","3,669","5,762","3,861","4,594","4,270","4,272","5,123","5,125","6,746","5,406","8,127","4,833","10,528","2,877","6,392","1,829","4,050","1,643","4,411","1,201","3,705",543,"3,127",39,626,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1888,인하대,10,1,"2,572",454,"8,094","3,370","21,781","5,372","20,458","17,935","9,975","11,222","8,063","12,877","9,630","8,112","9,794","8,774","10,281","11,544","10,226","8,792","11,451","9,460","16,170","11,787","17,526","16,286","15,161","22,775","8,375","12,740","6,910","8,293","6,993","9,228","5,877","8,308","4,117","4,577",121,"1,562",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1889,숭의,7,0,"2,692",836,"5,185","3,044","12,315","8,646","12,495","13,300","6,544","5,648","6,265","4,460","6,341","4,314","6,650","4,910","6,305","5,832","6,018","5,055","6,763","5,588","7,476","6,854","10,363","8,422","11,270","10,844","4,876","7,132","3,023","4,772","2,500","5,206","1,773","4,220","1,047","2,382",15,837,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1890,신포,5,0,"1,049",165,"1,431","1,294","3,102","3,774","3,229","10,786","2,071","4,030","1,888","2,940","2,514","3,242","3,061","3,596","3,503","3,786","3,817","3,433","4,525","3,499","5,608","3,546","6,214","4,008","7,582","5,535","3,074","3,020","2,631","1,950","2,441","1,558","1,610","1,348",810,689,4,295,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,수인선,1891,인천,92,1,452,110,736,"1,073","2,069","3,249","2,348","5,613","1,565","2,900","1,867","3,571","1,875","4,912","2,159","5,032","2,539","4,899","2,736","4,278","2,839","4,658","3,861","4,244","3,786","4,073","3,156","4,872","1,572","2,934","1,140","2,088","1,175","2,120",568,"1,801",126,931,4,453,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1501,판교,3,0,591,16,"1,679","4,633","5,638","10,986","4,670","27,970","2,863","22,825","2,481","9,251","2,857","7,522","3,631","5,732","4,047","5,467","5,361","5,034","7,327","4,438","7,986","5,161","11,838","6,983","23,563","6,192","17,655","4,453","14,353","1,752","10,428","1,822","6,014","1,214","2,061",744,5,271,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1502,이매,10,0,607,22,"1,438",785,"4,501","1,877","4,725","3,956","2,375","2,129","1,855","1,370","1,568","1,010","2,004","1,191","1,676","1,424","1,698","1,412","1,608","1,642","2,623","1,957","2,600","2,744","2,433","3,424","1,678","2,751","1,390","1,488","1,274","1,224","1,230",945,410,485,15,124,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1503,삼동,0,0,"1,037",95,"4,009",775,"12,026","2,068","13,879","2,440","7,956","1,035","4,476",972,"3,073","1,286","3,117","1,383","2,885","1,658","2,179","2,367","2,083","2,667","2,396","4,232","3,382","5,368","3,146","8,426","1,300","8,443",860,"5,281",687,"4,865",396,"4,174",139,"2,123",4,39,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1504,경기광주,0,0,"2,021",299,"11,744","2,017","35,833","5,153","41,454","10,714","22,013","4,961","14,590","4,400","12,234","4,750","11,634","5,891","10,312","6,736","8,429","8,304","8,453","9,964","9,893","14,069","11,345","17,905","10,457","32,822","5,045","28,943","3,387","18,766","2,803","15,984","1,781","11,483",675,"8,100",5,62,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1505,초월,0,0,"1,148",103,"4,295","1,117","12,277","3,720","14,374","5,569","8,074","1,853","5,120","1,920","4,702","1,666","4,394","2,123","3,904","2,376","3,286","2,978","3,304","3,460","4,529","5,174","5,806","5,885","5,656","10,694","2,466","8,750","1,535","7,450","1,235","5,370",631,"5,673",259,"4,308",2,2,3,4,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1506,곤지암,1,0,700,121,"1,973","1,221","6,680","4,713","6,867","7,654","5,000","5,283","3,474","5,397","3,788","3,590","3,682","3,655","3,852","3,056","4,107","2,994","5,254","3,384","6,778","4,251","9,682","4,985","7,654","5,911","2,912","6,245","1,692","3,619","1,055","3,779",396,"2,783",189,"2,280",0,1,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1507,신둔도예촌,4,0,531,81,"1,824",400,"4,445","1,805","4,567","4,269","2,849","3,307","2,597","1,169","2,023","1,367","4,151","1,626","2,807","1,689","2,298","1,577","2,344","1,745","3,161","2,135","5,741","2,868","3,362","3,573","1,202","3,814",901,"2,530",806,"2,540",386,"2,112",146,"1,935",0,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1508,이천,15,0,924,17,"2,984",998,"7,540","5,179","8,279","8,657","6,091","4,701","5,177","3,355","4,856","4,513","4,767","3,993","5,123","4,247","4,690","4,366","4,869","5,083","6,070","5,941","6,353","7,481","7,885","8,606","4,199","8,158","3,004","6,365","2,794","3,800","1,698","4,928",581,"2,153",0,"1,246",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1509,부발,3,0,638,22,"2,174","1,148","5,272","4,356","5,362","7,014","3,781","2,315","3,362","1,784","2,808","1,862","3,482","1,722","2,866","2,118","2,921","1,995","3,555","2,379","5,070","3,031","6,717","4,442","6,854","4,067","2,488","5,098","2,080","3,620","1,571","3,121",996,"3,025",416,"2,524",2,"1,596",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1510,세종대왕릉,1,0,163,20,438,61,965,478,"1,157",544,830,564,738,471,581,599,537,525,539,427,564,615,643,594,631,636,722,681,751,703,219,"1,058",148,512,95,515,50,268,18,379,3,111,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경강선,1511,여주,4,0,"1,253",14,"2,891",463,"6,129","2,520","5,779","4,910","4,518","8,639","4,438","3,870","4,397","4,625","4,607","4,734","4,570","3,997","5,449","3,750","7,224","3,861","8,472","5,087","7,403","4,967","4,710","5,027","3,028","7,060","2,200","4,995","1,567","2,693",812,"2,774",222,"3,042",2,"1,290",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2511,방화,0,0,"5,379",10,"11,389","3,518","32,412","5,732","29,978","17,907","16,906","9,140","13,704","6,210","12,305","6,178","13,051","7,748","12,651","9,016","10,828","9,731","11,726","11,024","13,491","13,845","13,022","15,348","12,764","22,370","6,086","22,922","4,535","15,573","3,726","13,664","2,762","13,689","1,122","8,917",183,"3,315",0,354,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2512,개화산,1,0,"4,298",303,"7,509","4,680","23,248","7,025","22,199","19,315","12,045","6,935","8,538","5,307","8,393","5,243","8,572","6,608","8,438","7,157","7,714","7,353","7,879","8,109","8,974","9,338","13,641","11,653","16,977","16,514","7,408","16,217","4,696","10,197","3,769","9,783","3,600","9,702","1,001","5,707",133,"2,319",2,121,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2513,김포공항,3,0,610,"2,767","2,058","10,638","6,249","16,168","8,806","20,376","9,424","14,538","8,282","15,284","11,463","16,995","12,058","18,443","15,184","19,990","17,314","18,096","19,505","17,678","18,243","18,714","24,176","19,761","34,111","18,976","22,056","12,227","18,350","5,736","15,977","3,584","15,217","2,477","5,750","1,427",361,656,1,5,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2514,송정,61,0,"4,911","1,780","9,183","6,054","24,910","8,792","27,451","16,519","17,083","11,134","13,361","8,288","12,280","8,189","12,156","9,313","12,011","9,524","11,535","10,998","12,199","11,682","15,080","13,804","16,661","16,966","18,474","22,235","10,552","20,924","7,616","13,696","6,755","11,386","5,568","12,028","3,085","7,894",496,"2,667",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2515,마곡,0,0,"2,291","1,728","6,319","7,545","24,369","9,309","25,144","29,397","12,766","14,554","9,064","6,701","7,735","5,117","8,226","6,026","8,265","7,354","8,292","7,604","9,820","8,021","13,886","9,625","20,475","11,789","23,396","17,581","10,108","16,550","6,961","9,207","5,728","8,373","3,727","9,239","1,871","5,686",230,"2,381",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2516,발산,0,0,"3,728","2,820","9,934","18,538","30,388","30,523","33,278","100,929","19,528","58,568","17,633","30,621","21,391","30,385","26,089","30,568","29,474","33,447","33,114","29,033","40,086","27,858","47,937","30,981","66,182","36,911","82,807","53,738","42,180","43,238","33,369","21,595","32,950","16,971","26,449","14,925","11,096","8,852","1,394","3,308",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2517,우장산,0,0,"6,531","1,163","21,733","4,984","62,350","20,316","69,635","28,453","38,639","16,579","29,110","14,403","27,295","14,695","29,469","17,890","27,980","21,356","22,638","23,445","25,184","26,536","30,812","30,945","27,506","37,139","23,827","58,546","13,589","52,361","10,624","31,017","9,712","27,756","7,716","29,109","2,975","17,603",346,"5,549",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2518,화곡,195,0,"25,310","1,885","42,323","10,495","125,691","14,952","169,912","32,856","83,120","29,411","52,628","21,062","47,195","21,880","46,666","25,714","45,147","29,574","38,657","34,255","36,346","41,438","39,240","54,380","42,852","72,477","44,714","125,580","27,542","111,431","19,707","66,230","17,482","58,626","14,701","57,856","6,579","35,637",839,"11,045",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2519,까치산,158,0,"26,118","1,360","45,017","10,506","141,915","12,425","177,377","23,738","90,622","21,429","54,734","20,768","47,029","22,191","48,977","25,927","45,166","32,225","38,093","36,545","35,290","47,539","36,751","60,637","38,161","76,494","37,188","126,813","23,778","116,788","17,956","72,037","15,190","67,455","12,671","62,829","6,569","40,393","1,117","11,901",1,478,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2520,신정(은행정),44,1,"12,254",908,"23,024","4,745","67,918","9,012","90,584","14,907","42,821","9,990","24,094","8,138","19,447","8,389","19,763","9,702","18,295","11,686","14,775","12,783","13,654","17,415","15,290","21,723","17,565","27,910","18,825","45,009","9,886","38,608","6,789","24,859","5,944","23,058","5,145","23,066","1,928","16,028",318,"4,481",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2521,목동,3,0,"8,518","1,426","21,627","7,034","67,501","14,695","88,319","31,517","44,103","26,667","30,517","19,130","27,831","17,092","29,132","20,633","28,386","25,410","25,247","27,775","24,979","31,129","29,016","38,334","33,515","52,190","36,720","88,980","19,996","72,039","16,323","39,705","16,465","36,165","16,851","35,693","6,240","21,777",944,"6,842",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,5호선,2522,오목교(목동운동장앞),15,0,"5,097","1,906","16,369","10,114","54,758","25,487","69,368","82,453","38,715","60,755","28,314","39,114","30,678","37,640","34,319","41,043","36,450","45,527","37,235","42,116","41,499","42,878","49,478","51,647","57,454","65,924","84,504","96,416","46,634","68,093","47,012","35,526","36,698","30,019","33,964","28,522","11,964","17,624","1,554","5,589",0,0,0,0,0,0,2019-12-03 11:43:20
