사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-11,2호선,0216,잠실(송파구청),97,1,"13,761","6,117","50,143","40,824","126,498","92,157","195,042","207,872","145,994","199,098","99,765","127,801","100,451","133,949","110,949","129,962","124,229","140,543","131,320","138,450","145,869","150,168","168,310","162,998","221,001","191,020","287,327","261,664","201,789","188,412","185,693","113,407","164,175","103,131","131,142","102,427","47,938","60,001","4,902","14,208",17,541,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0217,잠실새내,45,3,"5,558",961,"17,504","8,252","62,984","18,304","96,460","30,893","59,648","34,787","38,810","26,449","36,323","28,006","38,608","32,981","38,380","38,255","34,803","39,830","36,381","44,458","41,652","51,153","44,324","67,860","48,348","100,213","35,551","79,485","31,573","45,878","32,527","40,281","31,438","38,653","18,782","22,269","3,124","7,391",6,224,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0218,종합운동장,4,0,"1,991","1,331","6,787","13,461","19,488","28,836","31,618","36,095","22,903","21,919","17,381","16,708","15,913","13,815","16,252","16,066","17,981","17,932","17,647","19,796","20,394","16,414","25,681","18,216","25,001","21,841","22,217","31,723","15,365","22,680","13,563","13,805","11,592","14,285","5,012","14,183","2,274","8,685",356,"2,566",0,128,1,1,0,0,2019-12-03 11:43:20
2019-11,2호선,0219,삼성(무역센터),156,1,"5,730","5,690","9,035","44,461","19,412","131,167","28,329","362,317","28,616","295,950","30,563","145,494","44,909","121,305","59,942","106,065","81,694","115,589","99,481","102,042","124,299","87,301","149,681","83,109","229,074","87,169","349,892","95,118","215,152","57,314","155,211","27,083","128,388","21,008","97,341","17,327","27,765","10,189","3,843","6,158",4,"1,560",0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0220,선릉,112,3,"6,268","6,890","12,217","44,299","23,851","109,639","40,234","317,901","40,470","242,516","42,610","109,298","56,565","74,292","66,735","65,699","79,382","77,653","86,332","66,035","106,338","58,602","144,690","58,686","188,484","64,160","313,925","72,767","158,186","49,357","99,385","28,253","100,191","23,681","84,940","21,290","33,721","13,212","5,602","6,158",3,323,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0221,역삼,56,0,"4,366","8,372","9,180","39,894","17,305","125,660","31,689","363,087","29,547","293,046","29,612","121,615","39,740","77,606","49,213","64,425","61,323","75,419","66,993","64,753","86,028","58,191","106,517","54,635","188,222","60,845","301,434","73,250","152,768","52,047","91,677","28,049","91,193","22,217","66,343","19,469","27,312","13,042","4,962","4,360",4,159,1,1,0,0,2019-12-03 11:43:20
2019-11,2호선,0222,강남,274,9,"15,757","13,814","24,937","57,136","46,985","152,605","77,059","357,421","68,489","368,685","65,933","188,913","86,404","151,452","111,077","147,536","142,881","177,053","149,581","158,087","179,638","146,524","204,182","159,447","276,607","199,468","387,701","283,910","252,975","210,222","209,318","93,332","255,424","70,695","266,574","60,672","122,348","38,769","22,860","11,354",24,321,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0223,교대(법원.검찰청),38,3,"2,899","8,140","14,284","29,984","30,637","58,672","46,445","166,832","37,882","158,669","35,661","83,056","42,307","72,393","45,714","66,988","58,706","72,794","65,821","67,976","70,553","64,130","74,040","66,009","107,911","83,797","163,939","103,966","82,662","66,605","69,947","35,345","74,175","30,504","61,912","28,537","25,391","17,039","5,102","5,006",9,64,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0224,서초,14,0,"1,413","5,642","7,472","22,761","16,445","50,418","28,186","130,564","30,322","118,196","24,259","53,946","33,242","41,479","36,757","33,339","43,952","35,138","44,210","34,060","48,929","27,971","57,422","29,393","78,926","32,256","117,753","36,155","56,361","24,858","38,957","13,122","40,940","11,734","25,841","11,329","8,410","7,109","1,135","2,158",2,25,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0225,방배,13,0,"3,165","5,066","10,946","13,974","26,581","29,740","41,140","87,696","34,610","67,948","25,155","43,760","26,723","31,059","29,067","33,866","33,536","32,957","34,910","32,757","41,093","29,761","49,189","33,235","60,214","39,902","84,433","47,905","38,393","38,639","29,162","24,016","29,872","22,573","25,250","23,000","11,771","14,053","2,564","4,507",1,56,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0226,사당,318,11,"14,678","4,143","25,379","36,200","80,097","55,212","116,092","85,551","85,276","68,428","57,448","51,585","52,372","59,979","61,536","61,698","67,268","62,332","70,809","62,155","68,213","73,729","73,400","95,954","87,751","130,292","110,318","193,915","81,753","147,777","76,400","84,902","86,455","78,058","87,032","77,613","50,596","51,677","8,790","16,531",31,"1,075",0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0227,낙성대,66,3,"12,581","2,429","27,928","11,417","88,822","21,175","144,211","47,394","93,757","41,972","50,022","34,715","41,924","28,724","46,392","33,257","47,266","35,723","42,157","36,772","44,970","41,736","48,669","47,129","55,487","64,695","62,780","100,000","36,826","99,656","27,898","63,492","25,824","62,367","21,488","64,186","12,438","44,446","2,154","13,093",6,290,1,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0228,서울대입구(관악구청),"4,696",19,"30,998","3,148","46,497","17,947","139,715","33,470","208,968","76,520","138,327","84,500","81,970","67,779","72,895","56,569","79,792","62,166","86,876","71,259","77,374","68,543","82,412","77,698","90,837","87,574","104,614","118,859","113,368","182,044","72,754","174,709","59,253","105,717","60,718","98,774","57,620","101,120","30,576","66,981","5,356","26,230",6,"4,004",1,1,0,0,2019-12-03 11:43:20
2019-11,2호선,0229,봉천,133,1,"17,551","2,006","30,852","9,187","91,089","14,117","136,903","28,777","83,957","25,333","46,892","22,528","37,577","23,327","39,570","26,357","41,440","29,575","34,152","31,757","33,599","40,366","36,772","45,131","38,232","58,869","38,421","88,001","23,741","83,481","18,156","50,822","16,795","49,816","13,032","48,912","6,102","30,615",993,"10,342",4,314,1,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0230,신림,374,9,"44,822","5,372","83,947","23,253","233,688","38,542","358,290","69,397","217,365","62,795","118,721","54,523","99,058","58,982","103,579","65,123","103,216","76,475","90,500","82,154","88,119","101,454","96,785","118,607","107,469","167,013","111,926","267,799","75,988","269,926","61,822","163,715","58,181","158,784","55,538","155,027","32,039","108,055","5,949","34,777",15,764,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0231,신대방,155,1,"27,641","2,960","39,765","11,070","100,293","19,818","148,082","39,470","97,198","27,986","54,951","22,203","43,958","22,713","43,762","24,893","42,368","30,561","37,113","33,880","35,599","43,353","38,547","50,976","42,307","70,853","50,397","98,704","29,008","95,620","21,022","62,184","17,107","67,937","14,185","70,525","6,971","42,810","1,356","11,909",9,316,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0232,구로디지털단지,266,9,"46,526","6,849","57,680","23,681","154,758","71,887","212,010","270,290","139,395","171,273","84,506","68,961","72,343","57,369","80,144","57,883","83,660","73,945","74,564","74,716","77,498","82,397","93,355","92,730","135,130","131,516","253,518","187,896","132,097","165,997","82,373","103,094","69,916","106,089","57,802","107,190","28,966","68,626","4,732","18,061",10,463,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0233,대림(구로구청),717,23,"43,878","4,307","34,825","13,093","77,782","24,080","112,586","64,389","82,783","43,402","49,661","39,282","41,071","39,968","43,498","39,047","44,484","42,673","40,189","42,089","41,306","50,264","45,999","56,219","54,391","81,787","67,191","88,635","36,815","70,760","27,139","49,398","22,261","62,409","16,365","63,399","8,934","33,804","1,166","8,740",6,308,0,1,0,0,2019-12-03 11:43:20
2019-11,2호선,0234,신도림,"3,378",13,"42,260","6,426","55,327","23,688","153,082","43,926","167,889","136,326","110,937","91,418","76,864","84,141","74,815","80,191","86,494","85,734","92,966","93,158","92,594","89,912","96,427","96,158","105,600","108,645","127,522","136,418","165,391","203,480","101,629","168,236","85,542","94,630","85,197","88,750","67,986","91,234","32,415","67,992","3,672","31,078",16,"3,606",0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0235,문래,9,0,"3,955","1,974","12,165","11,370","46,288","32,438","52,425","124,272","32,344","64,117","23,970","26,970","24,172","24,670","27,464","26,456","29,477","26,535","28,344","26,522","30,060","27,286","34,485","29,322","56,116","35,695","104,809","55,291","41,882","45,088","27,653","25,004","27,455","22,474","21,547","21,029","10,473","14,061","1,704","4,714",9,223,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0236,영등포구청,38,2,"6,436","3,347","13,836","14,723","45,405","32,278","56,145","129,745","36,288","60,096","26,857","31,071","29,139","28,368","31,715","29,353","33,725","31,460","33,271","30,410","35,322","31,298","40,578","33,990","56,925","40,987","110,818","62,790","40,966","46,699","31,183","26,870","31,260","24,991","24,193","23,987","10,111","16,474","1,738","6,337",7,243,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0237,당산,46,2,"7,455","4,367","19,160","15,752","52,480","30,689","71,487","95,226","47,413","47,737","33,000","25,448","30,462","23,694","31,264","25,620","30,432","28,729","27,034","28,542","28,209","32,383","34,489","38,300","48,812","50,996","74,342","81,051","37,548","63,168","25,131","39,922","25,169","39,528","22,456","39,357","11,607","26,310","1,815","6,987",2,283,1,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0238,합정,168,8,"10,089","3,659","18,684","21,464","47,287","36,990","64,136","105,880","43,822","85,359","33,999","53,380","35,623","49,344","40,848","54,683","46,699","61,473","47,850","59,985","52,916","58,424","64,443","67,408","83,169","86,957","124,107","123,155","82,711","101,289","65,198","52,164","77,962","40,762","78,637","37,247","41,198","26,553","6,855","9,402",16,311,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0239,홍대입구,"1,582",36,"35,891","4,568","36,008","21,629","72,030","40,565","97,368","118,437","80,646","148,705","73,623","111,348","79,907","123,938","90,845","149,121","102,305","170,466","109,392","169,797","129,243","173,294","157,899","188,152","191,462","227,589","221,209","289,352","175,936","239,531","171,684","136,519","208,864","107,271","232,954","90,199","131,475","67,290","17,820","23,123",14,"2,424",0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0240,신촌,164,7,"11,889","3,888","16,507","18,105","40,303","39,433","62,511","102,957","48,077","129,257","47,160","93,209","55,497","83,049","71,249","87,134","79,369","97,193","80,454","87,162","91,143","82,260","109,236","87,430","131,393","114,943","133,864","158,921","96,568","121,243","98,560","64,648","109,631","50,760","119,483","46,920","64,174","35,143","11,134","10,216",17,334,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0241,이대,56,1,"3,413","2,206","6,915","17,995","19,039","20,713","28,849","48,375","21,047","79,869","17,840","58,922","24,751","44,027","38,607","49,445","41,658","47,879","38,940","38,320","51,118","37,908","64,975","38,275","75,676","41,698","60,711","48,568","40,220","36,078","35,251","20,862","38,284","19,452","28,473","19,870","10,124","15,372","1,350","4,553",3,134,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0242,아현,38,0,"4,752","1,328","10,621","8,440","28,446","13,543","41,291","25,377","26,333","15,786","18,965","14,233","17,854","11,077","19,345","13,685","19,367","14,874","17,769","15,705","18,409","17,419","26,398","20,354","25,666","24,414","24,431","33,586","14,045","28,124","10,164","18,759","8,570","18,618","6,851","18,465","2,736","12,964",486,"3,561",9,55,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0243,충정로(경기대입구),45,1,"4,005",956,"7,428","6,291","17,710","17,889","26,241","72,561","18,120","39,294","13,896","18,001","15,288","14,309","15,613","13,878","17,401","17,549","17,501","16,517","18,112","15,826","22,086","17,169","28,715","20,052","59,464","26,575","20,161","19,878","14,117","13,243","13,306","13,396","9,373","12,449","4,155","8,865",680,"2,842",2,113,1,1,0,0,2019-12-03 11:43:20
2019-11,2호선,0244,용답,31,0,"2,817",248,"3,244",884,"8,467","1,666","14,186","4,411","7,382","5,672","4,677","3,727","4,439","2,902","4,783","3,413","4,932","4,041","4,418","3,626","4,401","4,817","5,208","6,201","5,672","6,968","4,549","10,959","2,838","8,204","1,927","5,233","1,539","6,137","1,232","6,005",597,"4,104",116,"1,108",0,6,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0245,신답,1,1,"1,121",83,"1,831",501,"7,035",942,"11,517","1,965","4,852","1,107","2,825","1,076","2,453","1,285","2,278","1,529","2,309","1,781","1,905","2,136","1,748","3,069","2,016","3,753","2,200","4,383","2,240","9,633","1,277","7,560",739,"3,762",616,"4,211",622,"3,224",206,"2,309",29,645,0,12,0,0,0,0,2019-12-03 11:43:20
