년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
2017,강서구,4,11,1888,2916,316,327,4808,5135,846,600163,6518,251336,606681,871,143,168,133,301
2017,관악구,7,8,1979,3152,379,387,5138,5525,1055,505505,17783,254634,523288,2409,460,94,220,314
2017,광진구,13,6,2220,2146,261,267,4379,4646,1248,357477,14673,159804,372151,640,171,86,18,104
2017,구로구,8,7,1725,2827,328,335,4560,4895,1100,413818,30804,171938,444622,1321,297,97,33,130
2017,금천구,5,5,1141,1874,240,245,3020,3265,1284,235870,18362,105675,254232,818,321,78,53,131
2017,노원구,9,4,1538,2478,180,184,4025,4209,746,560295,3741,218876,564037,949,168,51,24,75
2017,도봉구,3,1,633,1258,104,105,1894,1999,575,345508,2031,137028,347539,516,148,55,23,78
2017,동대문구,3,11,1547,2249,165,176,3799,3975,1080,352442,15389,159908,367831,1806,490,114,75,189
2017,동작구,7,1,1226,1700,396,397,2933,3330,810,398628,12105,173117,410733,1165,283,51,49,100
2017,마포구,8,3,2094,2673,500,503,4775,5278,1360,376970,10975,169461,387945,978,252,84,64,148
2017,서대문구,1,4,1230,1676,202,206,2907,3113,954,314185,12085,137348,326270,915,280,66,30,96
2017,서초구,13,9,1812,2404,470,479,4229,4708,1051,443428,4277,173688,447706,948,211,111,72,183
2017,성동구,3,1,1072,1559,132,133,2634,2767,886,304279,7900,131914,312179,1493,478,42,23,65
2017,성북구,8,7,1344,1902,173,180,3254,3434,748,447097,11453,187886,458551,1193,260,69,8,77
2017,송파구,1,6,2274,3007,288,294,5282,5576,833,662012,6718,262069,668730,403,60,174,103,277
2017,양천구,3,3,1590,2148,138,141,3741,3882,813,473504,3931,176810,477435,827,173,73,5,78
2017,영등포구,5,15,2304,3190,455,470,5499,5969,1483,368653,33817,166450,402471,1243,308,256,171,427
2017,용산구,5,1,1346,2381,327,328,3732,4060,1663,229109,14884,106975,243993,358,146,106,30,136
2017,은평구,4,6,1387,2256,230,236,3647,3883,788,488158,4422,202267,492581,1048,212,138,77,215
2017,종로구,10,7,1644,2143,253,260,3797,4057,2476,154469,9340,73251,163809,756,461,135,220,355
2017,중구,9,1,1846,2061,267,268,3916,4184,3129,124830,8880,59847,133711,912,682,91,229,320
2017,중랑구,3,5,1533,2858,172,177,4394,4571,1103,409620,4534,178466,414155,1059,255,104,26,130
2018,강남구,14,10,3004,3885,600,610,6903,7513,1362,546637,4978,229509,551615,2766,501,266,211,477
2018,강동구,7,3,1515,2224,170,173,3746,3919,899,431263,4283,177483,435546,1055,242,91,133,224
2018,강북구,7,8,1112,2122,188,196,3241,3437,1056,321496,3694,143223,325191,793,243,126,74,200
2018,강서구,6,11,1724,2619,269,280,4349,4629,763,599329,6675,257165,606005,1125,185,171,133,304
2018,관악구,10,9,2012,2643,352,361,4665,5026,963,503601,17892,260460,521494,3080,590,93,212,305
2018,광진구,2,7,1769,1908,229,236,3679,3915,1055,355872,14941,161755,370813,986,265,86,18,104
2018,구로구,9,8,1717,2826,250,258,4552,4810,1094,406561,33044,172052,439605,1807,411,96,35,131
2018,금천구,7,6,1168,1912,200,206,3087,3293,1300,233544,19574,106846,253119,1348,532,73,51,124
2018,노원구,5,5,1422,2381,194,199,3808,4007,725,547982,4069,217804,552052,1105,200,49,23,72
2018,도봉구,5,1,781,1349,113,114,2135,2249,654,341269,2174,137756,343444,587,170,55,23,78
2018,동대문구,5,2,1447,2081,145,147,3533,3680,1008,349204,15777,161324,364982,2003,548,91,71,162
2018,동작구,7,3,1151,1651,288,291,2809,3100,760,395214,12610,175255,407825,1420,348,44,50,94
2018,마포구,6,6,2011,2676,473,479,4693,5172,1341,374654,10976,171208,385630,1173,304,82,63,145
2018,서대문구,3,5,1062,1526,206,211,2591,2802,866,311122,12305,138014,323427,1109,342,63,30,93
2018,서초구,5,5,1851,2395,470,475,4251,4726,1068,438039,4174,173830,442213,1344,303,110,67,177
2018,성동구,5,2,999,1325,126,128,2329,2457,777,308017,8052,136062,316069,1787,565,41,23,64
2018,성북구,1,7,1164,1687,183,190,2852,3042,674,439099,11648,186818,450748,1836,407,65,8,73
2018,송파구,6,5,2352,3135,309,314,5493,5807,862,666312,6749,268824,673061,799,118,161,99,260
2018,양천구,4,2,1384,2005,120,122,3393,3515,746,466669,3881,176472,470550,1657,352,73,5,78
2018,영등포구,8,17,2292,3132,391,408,5432,5840,1445,368621,35331,169835,403953,2036,504,208,159,367
2018,용산구,3,1,1096,1980,331,332,3079,3411,1391,229494,15714,108691,245208,431,175,108,29,137
2018,은평구,1,8,1278,2115,188,196,3394,3590,734,484289,4413,203982,488703,1415,289,137,82,219
2018,종로구,3,6,1483,1962,236,242,3448,3690,2256,153697,9809,73741,163507,857,524,130,210,340
2018,중구,11,2,1855,1955,207,209,3821,4030,2977,125913,9450,61182,135364,1240,916,92,233,325
2018,중랑구,3,4,1526,2581,174,178,4110,4288,1046,404985,4778,179961,409763,1068,260,103,24,127
